Survey name,Availability of dietary data,ISO3,Year,Dietary assessment method,Representativeness,Sample size,Youngest age,Oldest age,Sex,Available dietary factors,FoodEx2 harmonization status,GDD model inclusion?,URL (public surveys only),surveyid,surveyround
Demographic and Health Survey Guatemala 1998,Publicly Available,GTM,1998,DHS Questionnaire,National,2908,0,4,Male|Female,Non-Starchy Vegetables|Refined Grains|Unprocessed Red Meats|Sugar-Sweetened Beverages|Fruit Juice|Total Milk|Non-Starchy Vegetables|Refined Grains|Unprocessed Red Meats|Sugar-Sweetened Beverages|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-152.cfm,5931,1
Melse-Boonstra et al. (4 of 4),Publicly Available,GTM,1996,Biomarker,Subnational,7,25,55,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/9734741,101247,101247
Demographic and Health Survey Guatemala 1995,Publicly Available,GTM,1995,DHS Questionnaire,National,5789,0,4,Male|Female,Other Starchy Vegetables|Refined Grains|Unprocessed Red Meats|Sugar-Sweetened Beverages|Fruit Juice|Total Milk|Other Starchy Vegetables|Refined Grains|Unprocessed Red Meats|Sugar-Sweetened Beverages|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-70.cfm,5930,1
Global Student Based Student Health Survey 2010,Publicly Available,GUY,2010,FFQ,National,2357,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,https://www.who.int/ncds/surveillance/gshs/guyana/en/,5310,1
Demographic and Health Survey Guyana 2009,Publicly Available,GUY,2009,DHS Questionnaire,National,2839,0,47,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Tea|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Tea|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-309.cfm,5311,1
Global Student Based Student Health Survey 2004,Publicly Available,GUY,2004,FFQ,National,1189,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,https://www.who.int/ncds/surveillance/gshs/guyana/en/,5309,1
Global Student Based Student Health Survey 2012,Publicly Available,HND,2012,FFQ,National,1742,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,https://www.cdc.gov/gshs/countries/americas/honduras.htm,5315,1
Demographic and Health Survey Honduras 2011,Publicly Available,HND,2011,DHS Questionnaire,National,31660,0,49,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Fruit Juice|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-369.cfm,5937,1
Demographic and Health Survey Honduras 2005,Publicly Available,HND,2005,DHS Questionnaire,National,28876,0,49,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Sugar-Sweetened Beverages|Fruit Juice|Coffee|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Sugar-Sweetened Beverages|Fruit Juice|Coffee|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-265.cfm,5936,1
Health Behavior in School-Aged Children 2010,Publicly Available,HRV,2010,FFQ,National,6225,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5196,1
Health Behavior in School-Aged Children 2006,Publicly Available,HRV,2006,FFQ,National,4948,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5195,1
Croatian Community Health and Nutrition Survey,Publicly Available,HRV,2004,Household Availability/Budget Survey,National,1000,0,100,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/14533748,100041,100167
World Health Survey 2003,Publicly Available,HRV,2003,FFQ,National,944,18,93,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,http://apps.who.int/healthinfo/systems/surveydata/index.php/catalog/114,5193,1
Health Behavior in School-Aged Children 2002,Publicly Available,HRV,2001,FFQ,National,4366,10.5,16.416666,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5194,1
Croatian Community Health and Nutrition Survey,Publicly Available,HRV,1999,Household Availability/Budget Survey,National,1000,0,100,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Seafood Omega-3 Fat|Total Milk,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/14533748,100040,100166
Demographic and Health Survey Haiti 2012,Publicly Available,HTI,2012,DHS Questionnaire,National,14796,0,49,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Fruit Juice|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-368.cfm,5935,1
Demographic and Health Survey Haiti 2005,Publicly Available,HTI,2005,DHS Questionnaire,National,11647,0,49,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Fruit Juice|Coffee|Tea|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Fruit Juice|Coffee|Tea|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-222.cfm,5934,1
Demographic and Health Survey Haiti 2000,Publicly Available,HTI,2000,DHS Questionnaire,National,10789,0,49,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Cheese|Fruit Juice|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Cheese|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-155.cfm,5933,1
Demographic and Health Survey Haiti 1995,Publicly Available,HTI,1995,DHS Questionnaire,National,998,0,2,Male|Female,Sugar-Sweetened Beverages|Fruit Juice|Total Milk|Sugar-Sweetened Beverages|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-69.cfm,5932,1
Health Behavior in School-Aged Children 2010,Publicly Available,HUN,2010,FFQ,National,4767,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5326,1
Health Behavior in School-Aged Children 2006,Publicly Available,HUN,2006,FFQ,National,3472,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5325,1
The 3rd National Hungarian Survey,,HUN,2005,Multiple Recall,National,100,11,14,,Total Energy|Saturated Fat|Dietary Cholesterol|Dietary Fiber|Total Energy|Saturated Fat|Dietary Cholesterol|Dietary Fiber,,Yes,,100084,100115
World Health Survey 2003,Publicly Available,HUN,2003,FFQ,National,1398,18,95,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,http://apps.who.int/healthinfo/systems/surveydata/index.php/catalog/125,5319,1
The 3rd National Hungarian Survey,,HUN,2003,Multiple Recall,National,1000,18,100,,Fruits|Non-Starchy Vegetables|Whole Grains|Total Processed Meats|Unprocessed Red Meats|Fruit Juice|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Total Milk|Fruits|Non-Starchy Vegetables|Whole Grains|Total Processed Meats|Unprocessed Red Meats|Fruit Juice|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Total Milk,,Yes,,100084,100048
The 3rd National Hungarian Survey,,HUN,2003,Multiple Recall,National,1000,18,64,,Sugar-Sweetened Beverages|Sugar-Sweetened Beverages,,Yes,,100084,100114
The 3rd National Hungarian Survey,,HUN,2003,Multiple Recall,National,1000,18,100,,Dietary Sodium|Dietary Sodium,,Yes,,100084,100116
The 3rd National Hungarian Survey,,HUN,2003,Multiple Recall,National,250,60,100,,Dietary Sodium|Dietary Sodium,,Yes,,100084,100117
Health Behavior in School-Aged Children 2002,Publicly Available,HUN,2001,FFQ,National,4057,10.583333,16.5,Male|Female,Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5324,1
Health Behavior in School-Aged Children 1998,Publicly Available,HUN,1998,FFQ,National,3601,11.25,17.166666,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk|Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Whole Grains|Sugar-Sweetened Beverages|Coffee|Reduced Fat Milk|Whole Fat Milk,,Yes,http://www.hbsc.org/,5323,1
The 2nd National Hungarian Survey,,HUN,1992,Multiple Recall,National,1000,18,100,,Saturated Fat|Dietary Cholesterol|Calcium|Saturated Fat|Dietary Cholesterol|Calcium,,Yes,,100083,100047
Hungarian Community Health and Nutrition Survey,Publicly Available,HUN,1991,Household Availability/Budget Survey,National,1000,0,100,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Total Processed Meats|Unprocessed Red Meats|Total Seafoods|Sugar-Sweetened Beverages|Fruit Juice|Total Milk,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/14533754,100082,100180
Health Behavior in School-Aged Children 1990,Publicly Available,HUN,1989,FFQ,National,6498,11.42,17.17,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5321,1
Health Behavior in School-Aged Children 1986,Publicly Available,HUN,1985,FFQ,National,4461,11,15,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Potatoes|Nuts and Seeds|Whole Grains|Sugar-Sweetened Beverages,,Yes,http://www.hbsc.org/,5320,1
The First Hungarian Representative Nutrition Survey,,HUN,1985,Multiple Recall,National,1000,15,100,,Saturated Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Saturated Fat|Dietary Cholesterol|Dietary Fiber|Calcium,,Yes,,100081,100046
"INTERSALT, Porcsalam village",Publicly Available,HUN,1985,Biomarker,Local,25,20,59,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/2810325,101048,101048
Demographic and Health Survey Indonesia 2012,Publicly Available,IDN,2012,DHS Questionnaire,National,8665,0,4,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Fruit Juice|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Yogurt|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-357.cfm,5341,1
SEANUTS: South East Asian Nutrition Surveys,,IDN,2010,Single Recall,National,3600,0.47999999,12,Male|Female,Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A with Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin C|Vitamin D|Vitamin E|Zinc|Total Animal Protein|Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Dietary Cholesterol|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A with Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin C|Vitamin D|Vitamin E|Zinc|Total Animal Protein,,Yes,,115,1
Global Student Based Student Health Survey 2007,Publicly Available,IDN,2007,FFQ,National,3093,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,https://www.cdc.gov/gshs/countries/seasian/indonesia.htm,5337,1
Demographic and Health Survey Indonesia 2007,Publicly Available,IDN,2007,DHS Questionnaire,National,22570,0,49,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Yogurt|Fruit Juice|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Yogurt|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-297.cfm,5835,1
"Cardiovascular disease risk of adult in west Sumatera, Indonesia",Available for Download,IDN,2006,Single Recall,Subnational,800,18,90,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Yogurt|Sugar-Sweetened Beverages|Coffee|Tea|Whole Fat Milk|Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Dairy Protein|Plant Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Added Sugars|Calcium|Iron|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin C|Total Animal Protein|Fruits|Non-Starchy Vegetables|Potatoes|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Yogurt|Sugar-Sweetened Beverages|Coffee|Tea|Whole Fat Milk|Total Energy|Total Carbohydrates|Total Protein|Animal Protein|Dairy Protein|Plant Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Added Sugars|Calcium|Iron|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin C|Total Animal Protein,,Yes,,34,1
Double Burden of Nutrition in Indonesia,,IDN,2006,FFQ,Local,928,2,75,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Coffee|Tea|Total Milk|Fruits|Non-Starchy Vegetables|Potatoes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Coffee|Tea|Total Milk,,Yes,,98,1
"The determinant factors of hypertension among adult in West Sumatra, Indonesia",Available for Download,IDN,2004,FFQ,Subnational,250,18,90,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Unprocessed Red Meats|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Unprocessed Red Meats|Total Energy|Saturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Dietary Fiber|Calcium|Total Milk,,Yes,,100094,100026
Mustafa et al. (1 of 2),Publicly Available,IDN,2003,Biomarker,Local,15,25,55,,Dietary Sodium|Dietary Sodium,,Yes,https://www.ncbi.nlm.nih.gov/pubmed/16837429,101288,101288
Demographic and Health Survey Indonesia 2002,Publicly Available,IDN,2002,DHS Questionnaire,National,9886,0,4,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Yogurt|Fruit Juice|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Yogurt|Fruit Juice|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-357.cfm,5339,1
Child growth and its relevant factors,,IDN,2000,Multiple Recall,Local,126,1.4126149,12.409658,Male|Female,Total Energy|Total Carbohydrates|Total Protein|Iron|Vitamin C|Total Energy|Total Carbohydrates|Total Protein|Iron|Vitamin C,,Yes,,97,1
Demographic and Health Survey Indonesia 1991,Publicly Available,IDN,1991,DHS Questionnaire,National,10081,0,4,Male|Female,Fruit Juice|Tea|Total Milk|Fruit Juice|Tea|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-35.cfm,5834,1
Demographic and Health Survey Indonesia 1987,Publicly Available,IDN,1987,DHS Questionnaire,National,4491,0,4,Male|Female,Fruits|Refined Grains|Total Milk|Fruits|Refined Grains|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-14.cfm,5833,1
"Formative Research on Improved Maternal Nutrition (MN), Infant and Young Child (IYCF) and Household Sanitation and Hygiene (HSH) Practices in UP, 2016",Available for Download,IND,2016,FFQ,Subnational,360,0.5,38,Male|Female,Fruits|Non-Starchy Vegetables|Potatoes|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Tea|Total Milk|Fruits|Non-Starchy Vegetables|Potatoes|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Tea|Total Milk,,Yes,,235,1
Dietary Survey,Available for Download,IND,2013,Single Recall,Local,372,18,60,,Total Energy|Total Protein|Total Energy|Total Protein,,Yes,,268,1
Prevention of type 2 diabetes in women with pre-diabetes using vitamin D supplementation and lifestyle intervention in North India (PREVENT-WIN Study),Private,IND,2013,Single Recall,Local,134,20,60,Female,Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Zinc|Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Zinc,,Yes,,172,1
Urban School Children Survey,,IND,2012,FFQ,Local,1405,5.6599998,15,Male|Female,Fruits|Non-Starchy Vegetables|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Sugar-Sweetened Beverages|Fruit Juice|Total Milk|Fruits|Non-Starchy Vegetables|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Sugar-Sweetened Beverages|Fruit Juice|Total Milk,,Yes,,212,1
Indian Multicentre Urban Survey,Available for Download,IND,2011,Single Recall,National,791,1.8438356,18,Male|Female,Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A with Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin C|Zinc|Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A with Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin C|Zinc,,Yes,,280,1
Prevalence of Coronary Heart Disease (CHD) and Its Risk Factors in Residents of Urban and Rural Areas of National Capital Region â A Repeat Survey,Private,IND,2010,FFQ,Local,2604,30,105,Male|Female,Fruits|Non-Starchy Vegetables|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Sugar-Sweetened Beverages|Fruits|Non-Starchy Vegetables|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Sugar-Sweetened Beverages,,Yes,,173,1
Micronutrient status of tribal pregnant women,Private,IND,2008,Multiple Recall,Local,440,18,32,Female,Total Energy|Total Carbohydrates|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Zinc|Total Energy|Total Carbohydrates|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Zinc,,Yes,,107,1
Urban children,Available for Download,IND,2008,Single Recall,Local,935,1.84,18,Male|Female,Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B9|Vitamin C|Zinc|Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B9|Vitamin C|Zinc,,Yes,,118,1
Micronutrient status of rural and tribal nonpregnant women,Private,IND,2007,Single Recall,Subnational,109,18,30,Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Whole Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Tea|Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Iron|Magnesium|Potassium|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Zinc|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Refined Grains|Whole Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Cheese|Tea|Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Iron|Magnesium|Potassium|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Zinc|Total Milk,,Yes,,106,1
Attitudes and perceptions towards diet among children,Private,IND,2007,Multiple Recall,Local,201,8.9863014,16.082191,Male|Female,Total Energy|Total Carbohydrates|Total Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Calcium|Dietary Sodium|Iodine|Iron|Magnesium|Potassium|Selenium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Vitamin E|Zinc|Total Energy|Total Carbohydrates|Total Protein|Saturated Fat|Monounsaturated Fat|Total Omega-6 Fatty Acids|Seafood Omega-3 Fat|Plant Omega-3 Fat|Dietary Cholesterol|Calcium|Dietary Sodium|Iodine|Iron|Magnesium|Potassium|Selenium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B6|Vitamin B9|Vitamin B12|Vitamin C|Vitamin E|Zinc,,Yes,,272,1
Global School-Based Student Health Survey,Publicly Available,IND,2007,FFQ,National,8010,11,16,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,https://www.who.int/ncds/surveillance/gshs/india/en/,5028,1
Study on Global Ageing and Adult Health,Publicly Available,IND,2007,FFQ,National,11222,18,106,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,http://apps.who.int/healthinfo/systems/surveydata/index.php/catalog/65,5030,1
Risk of Jowar Consumption associated with severity of Dental Fluorosis in North Karnataka India,Private,IND,2006,FFQ,Local,428,12,15,Male|Female,Whole Grains|Whole Grains,,Yes,,228,1
Urban School girls,Available for Download,IND,2005,Multiple Recall,Local,608,10,16,Female,Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B9|Vitamin C|Zinc|Total Energy|Total Carbohydrates|Total Protein|Dietary Fiber|Calcium|Dietary Sodium|Iron|Magnesium|Potassium|Vitamin A without Supplements|Vitamin B1|Vitamin B2|Vitamin B3|Vitamin B9|Vitamin C|Zinc,,Yes,,116,1
Demographic and Health Survey 2005,Publicly Available,IND,2005,DHS Questionnaire,National,235520,0,54,Male|Female,Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Yogurt|Fruit Juice|Tea|Total Milk|Fruits|Non-Starchy Vegetables|Other Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Refined Grains|Unprocessed Red Meats|Total Seafoods|Eggs|Yogurt|Fruit Juice|Tea|Total Milk,,Yes,https://dhsprogram.com/what-we-do/survey/survey-display-264.cfm,5027,1
National Nutrition Monitoring Bureau (NNMB) Rural Surveys,Available for Download,IND,2004,Single Recall,Local,1238,20,100,,Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Unprocessed Red Meats|Total Energy|Saturated Fat|Dietary Fiber|Calcium|Dietary Sodium|Total Milk|Fruits|Non-Starchy Vegetables|Beans and Legumes|Nuts and Seeds|Unprocessed Red Meats|Total Energy|Saturated Fat|Dietary Fiber|Calcium|Dietary Sodium|Total Milk,,Yes,,100093,100051
India World Health Study 2003,Publicly Available,IND,2003,FFQ,National,8872,15,102,Male|Female,Fruits|Non-Starchy Vegetables|Fruits|Non-Starchy Vegetables,,Yes,http://apps.who.int/healthinfo/systems/surveydata/index.php/catalog/110,5029,1
